old_commit	new_commit	old_parents	new_parents	old_tree	new_tree	old_timestamp	new_timestamp	disposition
bed9cde6b0fc29e03dfa5a95fb1cfe9014c16c1e	722ad4e34a24ad002bf6e8d6f0baf9e2bfa534b8			0ffaea5a69ae7505196e9e25727291d561bccd82	0ffaea5a69ae7505196e9e25727291d561bccd82	2024-11-01T09:45:38+09:00	2024-11-01T09:45:38+09:00	tree-identical
326b8a328058bde73ce6ff523b907e698970cb12	e1050f277f3e22e796d2632dfe29fced54f773d1	bed9cde6b0fc29e03dfa5a95fb1cfe9014c16c1e	722ad4e34a24ad002bf6e8d6f0baf9e2bfa534b8	101e9bdba6ef0bff6c2434abb54419fcd902f0e7	101e9bdba6ef0bff6c2434abb54419fcd902f0e7	2024-11-03T12:04:45+09:00	2024-11-03T12:04:45+09:00	tree-identical
fd083a52d6dd6a1ef6cde35abc2fed0af5c6ddf3	c94e75be00115d58ed938e299d6af98f5eaf4d45	326b8a328058bde73ce6ff523b907e698970cb12	e1050f277f3e22e796d2632dfe29fced54f773d1	6356148eade77079322a9ea11673e18bca509f6b	6356148eade77079322a9ea11673e18bca509f6b	2024-11-04T21:37:30+09:00	2024-11-04T21:37:30+09:00	tree-identical
d40651123fdd84281e7dce99dea293d107d70569	121f6e61e9edd63f40884d74037cd434186e911f	bed9cde6b0fc29e03dfa5a95fb1cfe9014c16c1e fd083a52d6dd6a1ef6cde35abc2fed0af5c6ddf3	722ad4e34a24ad002bf6e8d6f0baf9e2bfa534b8 c94e75be00115d58ed938e299d6af98f5eaf4d45	6356148eade77079322a9ea11673e18bca509f6b	6356148eade77079322a9ea11673e18bca509f6b	2024-11-05T14:23:53+09:00	2024-11-05T14:23:53+09:00	tree-identical
9694fa955b9ab29d0dc8118a520c94a2fad200b3	be7a3a00aea0fc35cd2e76db0ace67033f992836	d40651123fdd84281e7dce99dea293d107d70569	121f6e61e9edd63f40884d74037cd434186e911f	2840ab74d81aa7f923157e3a9238a70e83d7dea1	b5c6c5db8040fd0b00c091460bb9c764464c0098	2024-11-06T09:10:15+09:00	2024-11-06T09:10:15+09:00	integrated final exercise contracts at original frame responsibilities
2b54738b832cf52d1835028d67a02e5cb414ccf1	85f217abb3fa752ae05009a67662d17da1b63a24	9694fa955b9ab29d0dc8118a520c94a2fad200b3	be7a3a00aea0fc35cd2e76db0ace67033f992836	86e71cc6a9d284d404c1567143c3c4f9dd94467d	989a06ac1082871c78e6af7947b40d1b6ae17039	2024-11-08T09:29:23+09:00	2024-11-08T09:29:23+09:00	integrated final exercise contracts at original frame responsibilities
851b0f6db4b06d15a217f510ef62e904d3b43a37	6a75c4efe4f616fa5233381868f098d923feb1dc	2b54738b832cf52d1835028d67a02e5cb414ccf1	85f217abb3fa752ae05009a67662d17da1b63a24	94b0b31951aab633bb0a411eb91fee3e448b161f	6fe88bfa529226c28a208bafc340b999532793d2	2024-11-09T19:02:08+09:00	2024-11-09T19:02:08+09:00	integrated Spring JSON escaping at original test responsibility; integrated final exercise contracts at original frame responsibilities
e57a2715bc3e36cf00e305a1a96268ac750b6143	5465756dccfe3e1cd81f8cf30750d277a7082280	d40651123fdd84281e7dce99dea293d107d70569 851b0f6db4b06d15a217f510ef62e904d3b43a37	121f6e61e9edd63f40884d74037cd434186e911f 6a75c4efe4f616fa5233381868f098d923feb1dc	94b0b31951aab633bb0a411eb91fee3e448b161f	6fe88bfa529226c28a208bafc340b999532793d2	2024-11-10T11:48:31+09:00	2024-11-10T11:48:31+09:00	integrated Spring JSON escaping at original test responsibility; integrated final exercise contracts at original frame responsibilities
90b380381ceb7bd4e66e455e38a22e5765e4a9e9	d5a269a103a08d6e88ec2281b0b45b08d70c892d	e57a2715bc3e36cf00e305a1a96268ac750b6143	5465756dccfe3e1cd81f8cf30750d277a7082280	8a19b710cf01206ff8af9d4540d900417c6073fd	97af20f033883d59c2ffdc64bd174c39ec668aaa	2024-11-11T09:34:53+09:00	2024-11-11T09:34:53+09:00	integrated Spring JSON escaping at original test responsibility; integrated final exercise contracts at original frame responsibilities
ca85fc29dbbfbb05a7c0005085aa0a7176218ebc	0a031bb35378af8909810e5f6f3b6ce945e2ea3c	90b380381ceb7bd4e66e455e38a22e5765e4a9e9	d5a269a103a08d6e88ec2281b0b45b08d70c892d	8be0235acf347623fdc443813e3775b579bab8c6	a601446ca42587b5dd959a444b9f94a67af15bc3	2024-11-13T09:54:01+09:00	2024-11-13T09:54:01+09:00	integrated Spring JSON escaping at original test responsibility; integrated final exercise contracts at original frame responsibilities
e673c008617f282c6c5bd435cb75e1c0bed5bc5c	0dc05a4f07c77ecb576d278988eac1824e632ade	ca85fc29dbbfbb05a7c0005085aa0a7176218ebc	0a031bb35378af8909810e5f6f3b6ce945e2ea3c	138c34637609a8cf07799338d353adbe9709cc8b	1b01ffca375155c736bf173ff953883c692204b5	2024-11-14T16:26:46+09:00	2024-11-14T16:26:46+09:00	integrated Spring JSON escaping at original test responsibility; integrated final exercise contracts at original frame responsibilities
7aff97f4e614f4f06306f6976c0e9adc636b5de9	7dffe52560fd095eaa4cd9cfaf4bef58dec5dd3f	e57a2715bc3e36cf00e305a1a96268ac750b6143 e673c008617f282c6c5bd435cb75e1c0bed5bc5c	5465756dccfe3e1cd81f8cf30750d277a7082280 0dc05a4f07c77ecb576d278988eac1824e632ade	138c34637609a8cf07799338d353adbe9709cc8b	1b01ffca375155c736bf173ff953883c692204b5	2024-11-15T09:13:09+09:00	2024-11-15T09:13:09+09:00	integrated Spring JSON escaping at original test responsibility; integrated final exercise contracts at original frame responsibilities
