repository	union_path	scope	old_ref_tip_tree_crosswalk	old_main_blob	branch_blob_crosswalk	relation	donor_class	final_path	final_mode	final_blob	final_bytes	disposition	review_mode	audit_signals	final_source_basis	final_source_tree	reason	reviewer	reviewed_at
backend-reliability-training	.github/workflows/ci.yml	source-shared	learning/reliability-v1@c4b34b46e3024f4f9ccef8b3c884184763622680#1c9eaf7989dc2c840281fdf0207bd3bb7dc5926d;learning/reliability-v2@634f9c27776ce10ccf9fe52d885d831abce4c0e2#52f7d148321dd747b6195a7465d0c1e4631f8bd7;learning/reliability-v2.0.1@5a6a11d65379e4607c3bdaadf467c37cc0b42d50#69cd9950e5c933048dbe3de609dc582defbdbfcc	main=100644:e5c1c96c4393edd6a40814951cd08a5758c8cab1:793	learning/reliability-v1=100644:e5c1c96c4393edd6a40814951cd08a5758c8cab1:793;learning/reliability-v2=100644:e5c1c96c4393edd6a40814951cd08a5758c8cab1:793;learning/reliability-v2.0.1=100644:e5c1c96c4393edd6a40814951cd08a5758c8cab1:793	oid-identical-all	source-baseline	.github/workflows/ci.yml	100644	e5c1c96c4393edd6a40814951cd08a5758c8cab1	793	adopted	oid-identical	candidate=none;candidate_relation=none;impact=none	d1675f1f07056df81ad2719f5b9fc067d14ad365	5bc7840641632b17636e232b75a57ef48a283e42	final-blob-equals-an-audited-historical-blob	mechanical-crosswalk	2026-07-21T02:42:16+09:00
backend-reliability-training	.gitignore	source-shared	learning/reliability-v1@c4b34b46e3024f4f9ccef8b3c884184763622680#1c9eaf7989dc2c840281fdf0207bd3bb7dc5926d;learning/reliability-v2@634f9c27776ce10ccf9fe52d885d831abce4c0e2#52f7d148321dd747b6195a7465d0c1e4631f8bd7;learning/reliability-v2.0.1@5a6a11d65379e4607c3bdaadf467c37cc0b42d50#69cd9950e5c933048dbe3de609dc582defbdbfcc	main=100644:adb1a49f975caa19ff2497c7ab6f520e718f8b6b:221	learning/reliability-v1=100644:adb1a49f975caa19ff2497c7ab6f520e718f8b6b:221;learning/reliability-v2=100644:adb1a49f975caa19ff2497c7ab6f520e718f8b6b:221;learning/reliability-v2.0.1=100644:adb1a49f975caa19ff2497c7ab6f520e718f8b6b:221	oid-identical-all	source-baseline	.gitignore	100644	adb1a49f975caa19ff2497c7ab6f520e718f8b6b	221	adopted	oid-identical	candidate=none;candidate_relation=none;impact=none	d1675f1f07056df81ad2719f5b9fc067d14ad365	5bc7840641632b17636e232b75a57ef48a283e42	final-blob-equals-an-audited-historical-blob	mechanical-crosswalk	2026-07-21T02:42:16+09:00
backend-reliability-training	Makefile	source-shared	learning/reliability-v1@c4b34b46e3024f4f9ccef8b3c884184763622680#1c9eaf7989dc2c840281fdf0207bd3bb7dc5926d;learning/reliability-v2@634f9c27776ce10ccf9fe52d885d831abce4c0e2#52f7d148321dd747b6195a7465d0c1e4631f8bd7;learning/reliability-v2.0.1@5a6a11d65379e4607c3bdaadf467c37cc0b42d50#69cd9950e5c933048dbe3de609dc582defbdbfcc	main=100644:14b496e35133d2f1c6c74ee3860acab81b82d958:1155	learning/reliability-v1=100644:fbf2f769eb1a9fb4c13121438e57d297005440a0:449;learning/reliability-v2=100644:14b496e35133d2f1c6c74ee3860acab81b82d958:1155;learning/reliability-v2.0.1=100644:14b496e35133d2f1c6c74ee3860acab81b82d958:1155	oid-identical-v2-v2.0.1	source-baseline	Makefile	100644	14b496e35133d2f1c6c74ee3860acab81b82d958	1155	adopted	oid-identical	candidate=source-baseline;candidate_relation=oid-identical-v2-v2.0.1;impact=none	d1675f1f07056df81ad2719f5b9fc067d14ad365	5bc7840641632b17636e232b75a57ef48a283e42	final-blob-equals-an-audited-historical-blob	mechanical-crosswalk	2026-07-21T02:42:16+09:00
backend-reliability-training	README.md	source-shared	learning/reliability-v1@c4b34b46e3024f4f9ccef8b3c884184763622680#1c9eaf7989dc2c840281fdf0207bd3bb7dc5926d;learning/reliability-v2@634f9c27776ce10ccf9fe52d885d831abce4c0e2#52f7d148321dd747b6195a7465d0c1e4631f8bd7;learning/reliability-v2.0.1@5a6a11d65379e4607c3bdaadf467c37cc0b42d50#69cd9950e5c933048dbe3de609dc582defbdbfcc	main=100644:538ee300a7938142f530cd1e19a792c2d4badb21:4205	learning/reliability-v1=100644:28ff6251bd96e3097eff87af86eb25f063939538:2057;learning/reliability-v2=100644:bab287a72c527617e91bea5bebe132db6e18eb2b:2984;learning/reliability-v2.0.1=100644:538ee300a7938142f530cd1e19a792c2d4badb21:4205	divergent	source-baseline	README.md	100644	92b745ccbe8a02125d5725b194486daafd740a65	4112	replaced	metadata-only	candidate=source-baseline;candidate_relation=divergent;impact=deleted-learning-ref	d1675f1f07056df81ad2719f5b9fc067d14ad365	5bc7840641632b17636e232b75a57ef48a283e42	source-hash-ref-or-active-path-crosswalk-only	/root/reliability_writer	2026-07-21T02:42:16+09:00
backend-reliability-training	docs/DESIGN.md	source-shared	learning/reliability-v1@c4b34b46e3024f4f9ccef8b3c884184763622680#1c9eaf7989dc2c840281fdf0207bd3bb7dc5926d;learning/reliability-v2@634f9c27776ce10ccf9fe52d885d831abce4c0e2#52f7d148321dd747b6195a7465d0c1e4631f8bd7;learning/reliability-v2.0.1@5a6a11d65379e4607c3bdaadf467c37cc0b42d50#69cd9950e5c933048dbe3de609dc582defbdbfcc	main=100644:27ad5c5c8b1d8a7a4faf95a700612654b3fc964a:12337	learning/reliability-v1=100644:463e2c165da7b7158780e061a1366ada23106b97:11520;learning/reliability-v2=100644:5f508d654fd778ef99aece01c44cfe882107f7a8:12259;learning/reliability-v2.0.1=100644:27ad5c5c8b1d8a7a4faf95a700612654b3fc964a:12337	divergent	source-baseline	docs/DESIGN.md	100644	0a8e895d8e8b6b9864dc52634ebb6457b6ea8428	12210	replaced	metadata-only	candidate=source-baseline;candidate_relation=divergent;impact=deleted-learning-ref	d1675f1f07056df81ad2719f5b9fc067d14ad365	5bc7840641632b17636e232b75a57ef48a283e42	source-hash-ref-or-active-path-crosswalk-only	/root/reliability_writer	2026-07-21T02:42:16+09:00
backend-reliability-training	docs/README.md	learning-only	learning/reliability-v1@c4b34b46e3024f4f9ccef8b3c884184763622680#1c9eaf7989dc2c840281fdf0207bd3bb7dc5926d;learning/reliability-v2@634f9c27776ce10ccf9fe52d885d831abce4c0e2#52f7d148321dd747b6195a7465d0c1e4631f8bd7;learning/reliability-v2.0.1@5a6a11d65379e4607c3bdaadf467c37cc0b42d50#69cd9950e5c933048dbe3de609dc582defbdbfcc	main=absent	learning/reliability-v1=100644:1e1a4ff0aba9b280025d31d26547182f2a6bc194:2288;learning/reliability-v2=100644:1e1a4ff0aba9b280025d31d26547182f2a6bc194:2288;learning/reliability-v2.0.1=100644:1687dbf82f73b19dd8c7d125419990e235b78735:939	oid-identical-v1-v2	direct-content	docs/README.md	100644	4f188b7caf3db0dce45ba01ee75f3441df79b63b	1484	replaced	direct-content	candidate=direct-content;candidate_relation=oid-identical-v1-v2 then changed in v2.0.1;impact=deleted-learning-ref	d1675f1f07056df81ad2719f5b9fc067d14ad365	5bc7840641632b17636e232b75a57ef48a283e42	policy-designated-semantic-or-rederived-content-review	/root/reliability_writer+repository-owner	2026-07-21T02:42:16+09:00
backend-reliability-training	docs/commits-reliability-v2.0.1/093.md	learning-only	learning/reliability-v1@c4b34b46e3024f4f9ccef8b3c884184763622680#1c9eaf7989dc2c840281fdf0207bd3bb7dc5926d;learning/reliability-v2@634f9c27776ce10ccf9fe52d885d831abce4c0e2#52f7d148321dd747b6195a7465d0c1e4631f8bd7;learning/reliability-v2.0.1@5a6a11d65379e4607c3bdaadf467c37cc0b42d50#69cd9950e5c933048dbe3de609dc582defbdbfcc	main=absent	learning/reliability-v1=absent;learning/reliability-v2=absent;learning/reliability-v2.0.1=100644:4921c841fbd0d054756a99f42fedd53a7a4e2d88:676	unique-v2.0.1	direct-content	docs/commits/093.md	100644	33d43d18dad7fe7ca5a50178ecdaf5261de37007	5568	replaced	direct-content	candidate=direct-content;candidate_relation=unique-v2.0.1;impact=exact-hash-ledger	d1675f1f07056df81ad2719f5b9fc067d14ad365	5bc7840641632b17636e232b75a57ef48a283e42	policy-designated-semantic-or-rederived-content-review	/root/reliability_writer+repository-owner	2026-07-21T02:42:16+09:00
backend-reliability-training	docs/commits-reliability-v2.0.1/README.md	learning-only	learning/reliability-v1@c4b34b46e3024f4f9ccef8b3c884184763622680#1c9eaf7989dc2c840281fdf0207bd3bb7dc5926d;learning/reliability-v2@634f9c27776ce10ccf9fe52d885d831abce4c0e2#52f7d148321dd747b6195a7465d0c1e4631f8bd7;learning/reliability-v2.0.1@5a6a11d65379e4607c3bdaadf467c37cc0b42d50#69cd9950e5c933048dbe3de609dc582defbdbfcc	main=absent	learning/reliability-v1=absent;learning/reliability-v2=absent;learning/reliability-v2.0.1=100644:a5650d60817a135baf8ff225f0f7b8db354691a8:1058	unique-v2.0.1	direct-content	docs/commits/README.md	100644	3aaa5dc7a2e8e3c48cb2b7c84cc5f04b9f04ddb1	26477	replaced	direct-content	candidate=direct-content;candidate_relation=unique-v2.0.1;impact=exact-hash-ledger	d1675f1f07056df81ad2719f5b9fc067d14ad365	5bc7840641632b17636e232b75a57ef48a283e42	policy-designated-semantic-or-rederived-content-review	/root/reliability_writer+repository-owner	2026-07-21T02:42:16+09:00
backend-reliability-training	docs/commits-source-split-v1/088.md	learning-only	learning/reliability-v1@c4b34b46e3024f4f9ccef8b3c884184763622680#1c9eaf7989dc2c840281fdf0207bd3bb7dc5926d;learning/reliability-v2@634f9c27776ce10ccf9fe52d885d831abce4c0e2#52f7d148321dd747b6195a7465d0c1e4631f8bd7;learning/reliability-v2.0.1@5a6a11d65379e4607c3bdaadf467c37cc0b42d50#69cd9950e5c933048dbe3de609dc582defbdbfcc	main=absent	learning/reliability-v1=100644:a45ca069c57323c642d7827a20dc67bdb7401e6b:15292;learning/reliability-v2=100644:a45ca069c57323c642d7827a20dc67bdb7401e6b:15292;learning/reliability-v2.0.1=100644:a45ca069c57323c642d7827a20dc67bdb7401e6b:15292	oid-identical-all	oid-identical	docs/commits/088.md	100644	c814ab93988e669db676f9e4956cb9e70787b05a	15478	replaced	metadata-only	candidate=none;candidate_relation=none;impact=exact-hash-ledger	d1675f1f07056df81ad2719f5b9fc067d14ad365	5bc7840641632b17636e232b75a57ef48a283e42	source-hash-ref-or-active-path-crosswalk-only	/root/reliability_writer	2026-07-21T02:42:16+09:00
backend-reliability-training	docs/commits-source-split-v1/089.md	learning-only	learning/reliability-v1@c4b34b46e3024f4f9ccef8b3c884184763622680#1c9eaf7989dc2c840281fdf0207bd3bb7dc5926d;learning/reliability-v2@634f9c27776ce10ccf9fe52d885d831abce4c0e2#52f7d148321dd747b6195a7465d0c1e4631f8bd7;learning/reliability-v2.0.1@5a6a11d65379e4607c3bdaadf467c37cc0b42d50#69cd9950e5c933048dbe3de609dc582defbdbfcc	main=absent	learning/reliability-v1=100644:245778d4cdcac957f5a9e6aa5ff6c2a822903941:4319;learning/reliability-v2=100644:245778d4cdcac957f5a9e6aa5ff6c2a822903941:4319;learning/reliability-v2.0.1=100644:245778d4cdcac957f5a9e6aa5ff6c2a822903941:4319	oid-identical-all	oid-identical	docs/commits/089.md	100644	5724ad71ce3aa6cb09d7cb4924b95b6114e0f597	4563	replaced	metadata-only	candidate=none;candidate_relation=none;impact=exact-hash-ledger	d1675f1f07056df81ad2719f5b9fc067d14ad365	5bc7840641632b17636e232b75a57ef48a283e42	source-hash-ref-or-active-path-crosswalk-only	/root/reliability_writer	2026-07-21T02:42:16+09:00
