ordinal	origin_refs	source_position	old_commit	old_parent	old_tree	old_patch	old_time	old_subject	new_commit	new_parent	new_tree	new_patch	new_time	new_subject	disposition	evidence
1	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/001	22d1ccae8f4d66bac61b923618a522a624cbd889	-	d4c156faca88798e1cfa3c49b534f2d55ff37799	ce5dc4d996f83a3d4ce253c72a8f6e8fef1b0265	2025-02-01T19:17:31+09:00	chore: scaffold repository	d77e772a3d1887bf37b7bdacc3a567044f835e62	-	d4c156faca88798e1cfa3c49b534f2d55ff37799	ce5dc4d996f83a3d4ce253c72a8f6e8fef1b0265	2025-02-15T19:17:31+09:00	chore: scaffold repository	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
2	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/002	5c85d2f8826164cf1bc0f115db8b1a3b79e0e565	22d1ccae8f4d66bac61b923618a522a624cbd889	5828ec1e021e278e73607aca8f13fd1392dc1f6e	fffc7f40bc04ae4332f29653ad31954704384e42	2025-02-06T09:47:00+09:00	feat: add spring main foundation	b39619c5c97176ab5bad9af76b207d9e91111aa8	d77e772a3d1887bf37b7bdacc3a567044f835e62	5828ec1e021e278e73607aca8f13fd1392dc1f6e	fffc7f40bc04ae4332f29653ad31954704384e42	2025-02-20T09:47:00+09:00	feat: add spring main foundation	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
3	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/003	33a35d2fa6059ab9a838d342c155ec38438cf744	22d1ccae8f4d66bac61b923618a522a624cbd889 5c85d2f8826164cf1bc0f115db8b1a3b79e0e565	5828ec1e021e278e73607aca8f13fd1392dc1f6e	fffc7f40bc04ae4332f29653ad31954704384e42	2025-02-07T11:56:50+09:00	merge: integrate spring main foundation	165c68b0d4583516ca3a60a39ca778ca5bff0426	d77e772a3d1887bf37b7bdacc3a567044f835e62 b39619c5c97176ab5bad9af76b207d9e91111aa8	5828ec1e021e278e73607aca8f13fd1392dc1f6e	fffc7f40bc04ae4332f29653ad31954704384e42	2025-02-21T11:56:50+09:00	chore(merge): integrate spring main foundation	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
4	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/004	fc7ab858b850baef098814058fc0b4d9739edfd2	33a35d2fa6059ab9a838d342c155ec38438cf744	ab023c44884e37599c6964e6f10e6ed5ee405c4d	0a9e97848086681f51a7edff0a74883c736895cb	2025-02-08T10:24:01+09:00	docs: frame signup invariants exercise	26f0dfddc09be191e5a4f69652a00263280b2108	165c68b0d4583516ca3a60a39ca778ca5bff0426	ab023c44884e37599c6964e6f10e6ed5ee405c4d	0a9e97848086681f51a7edff0a74883c736895cb	2025-02-22T10:24:01+09:00	docs: frame signup invariants exercise	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
5	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/005	ac7a477f57875e4b5d5a4cd9f0a014ec4c036787	fc7ab858b850baef098814058fc0b4d9739edfd2	a8140a3589402e188fd02d603490757eb95229e8	50275921ddc20900baea96906ba2458d08613898	2025-02-13T09:36:10+09:00	feat: implement signup invariants exercise	31c0e210d1bbcdc6b178e6d1cd15adb4d84ff729	26f0dfddc09be191e5a4f69652a00263280b2108	a8140a3589402e188fd02d603490757eb95229e8	50275921ddc20900baea96906ba2458d08613898	2025-02-27T09:36:10+09:00	feat: implement signup invariants exercise	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
6	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/006	52b909da6f373d7d08a8967e6c608a7bcf9e245a	ac7a477f57875e4b5d5a4cd9f0a014ec4c036787	29743f55b89ee6ff8924e7d530395ccc918aa1d4	a7ea6dbad34cc0b357bd874859a835875a5acbf6	2025-02-16T09:55:50+09:00	test: cover signup invariants guarantees	93b03c46f99d9c2f8d455601866270e51d204652	31c0e210d1bbcdc6b178e6d1cd15adb4d84ff729	29743f55b89ee6ff8924e7d530395ccc918aa1d4	a7ea6dbad34cc0b357bd874859a835875a5acbf6	2025-03-02T09:55:50+09:00	test: cover signup invariants guarantees	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
7	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/007	7db8455c045aa006cffc938d6485ee0e0b61c886	33a35d2fa6059ab9a838d342c155ec38438cf744 52b909da6f373d7d08a8967e6c608a7bcf9e245a	29743f55b89ee6ff8924e7d530395ccc918aa1d4	01b05e60319632d3624f0cd9cfbe0351d623995a	2025-02-17T11:05:40+09:00	merge: integrate signup invariants exercise	9e6f1c11af479182701d76973ebbf93b1b7b8710	165c68b0d4583516ca3a60a39ca778ca5bff0426 93b03c46f99d9c2f8d455601866270e51d204652	29743f55b89ee6ff8924e7d530395ccc918aa1d4	01b05e60319632d3624f0cd9cfbe0351d623995a	2025-03-03T11:05:40+09:00	chore(merge): integrate signup invariants exercise	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
8	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/008	0513a5cc20a09dedb52beb786a978990695e6b45	7db8455c045aa006cffc938d6485ee0e0b61c886	bf6b4763dda7dcc7aa07fd233982f11c63342e41	f927ba7d19c2d467d6a100a18a9f5af9bf6fb060	2025-02-21T17:35:10+09:00	feat: add spring main foundation	04a184b99cf184a871c82bf710bcb93e5f8dd980	9e6f1c11af479182701d76973ebbf93b1b7b8710	bf6b4763dda7dcc7aa07fd233982f11c63342e41	f927ba7d19c2d467d6a100a18a9f5af9bf6fb060	2025-03-07T17:35:10+09:00	feat: add spring main foundation	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
9	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/009	14005484e1531397647e57ea71a8dae8cfc805fb	0513a5cc20a09dedb52beb786a978990695e6b45	35eda8efc5ca8b976247aa2f5c0781ace7576757	879c37279cceb331f66e68455201698f6e2eeff6	2025-02-23T09:45:00+09:00	docs: frame idempotency key exercise	89260647e740b24cf9146b3bc84b4d8a46842e86	04a184b99cf184a871c82bf710bcb93e5f8dd980	35eda8efc5ca8b976247aa2f5c0781ace7576757	879c37279cceb331f66e68455201698f6e2eeff6	2025-03-09T09:45:00+09:00	docs: frame idempotency key exercise	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
10	refs/heads/main;refs/tags/pre-reliability-v1;refs/tags/reliability-v1;refs/tags/reliability-v2;refs/tags/reliability-v2.0.1	main/010	48d54ba7247a52bf71032f5d49b254d1b15b234c	14005484e1531397647e57ea71a8dae8cfc805fb	de139f471e89c172d6a85e0794ce563c5321d358	1ef8c34621372a7fa1da23acb1a4cb0c2a32635b	2025-02-28T20:24:20+09:00	feat: implement idempotency key exercise	b5fffc07d44a56370273bafd9f7a3a2b6ec1c14b	89260647e740b24cf9146b3bc84b4d8a46842e86	de139f471e89c172d6a85e0794ce563c5321d358	1ef8c34621372a7fa1da23acb1a4cb0c2a32635b	2025-03-14T20:24:20+09:00	feat: implement idempotency key exercise	metadata_identity_timestamp_message_replay_tree_preserved	tree_and_first_parent_patch_preserved
