repository	old_ref	old_tip	old_tree	old_path	old_blob	old_bytes	final_path	final_blob	disposition	review_mode	final_source_basis	reason	reviewer	reviewed_at
cloud-launch-training	learning/cloud-launch-v1.0.1	c13b944e41f7b3cbf4f6949636e2104218dc48a3	ae44708fdf4a3b0312af06d2f4785f282520d205	docs/README.md	154ccc18e5253653828d457cb5f468dc0acfd3c2	1960	docs/README.md	4ec70a517be069cb1022c2ed47ee8dd845f92c3b	replaced	direct-content	0b47343e9a3e472b11b5c254b5690f8a6a3ac8ab	single-index-replacement	repository-owner	2026-07-20T17:43:52+09:00
cloud-launch-training	learning/cloud-launch-v1.0.1	c13b944e41f7b3cbf4f6949636e2104218dc48a3	ae44708fdf4a3b0312af06d2f4785f282520d205	docs/commits/001.md	4e179040e8fb3562d78ce4bd3af3e65bb0265e09	3803	docs/commits/001.md	66e5a97e85e2b69a38e0c1ebdfcca65b36f493fe	corrected	direct-content	0b47343e9a3e472b11b5c254b5690f8a6a3ac8ab	final-source-crosswalk	repository-owner	2026-07-20T17:43:52+09:00
cloud-launch-training	learning/cloud-launch-v1.0.1	c13b944e41f7b3cbf4f6949636e2104218dc48a3	ae44708fdf4a3b0312af06d2f4785f282520d205	docs/commits/002.md	649993a7984b0966875fcf19701428efdcf56436	5349	docs/commits/002.md	0239f838e862670e4e304bcf2adf2d1b1d384b4a	corrected	direct-content	0b47343e9a3e472b11b5c254b5690f8a6a3ac8ab	final-source-crosswalk	repository-owner	2026-07-20T17:43:52+09:00
cloud-launch-training	learning/cloud-launch-v1.0.1	c13b944e41f7b3cbf4f6949636e2104218dc48a3	ae44708fdf4a3b0312af06d2f4785f282520d205	docs/commits/003.md	2ab2f5ee88040bed2c467bf5eb0299d2762740ae	4660	docs/commits/003.md	0090ae26e6c4210512b48506bdbf8ad817a90be2	corrected	direct-content	0b47343e9a3e472b11b5c254b5690f8a6a3ac8ab	final-source-crosswalk	repository-owner	2026-07-20T17:43:52+09:00
cloud-launch-training	learning/cloud-launch-v1.0.1	c13b944e41f7b3cbf4f6949636e2104218dc48a3	ae44708fdf4a3b0312af06d2f4785f282520d205	docs/commits/004.md	a68b637868fbd07605916612e61bdb4c44f26cdc	4353	docs/commits/004.md	581d8588240cf227e5982b061fb278f0368606b2	corrected	direct-content	0b47343e9a3e472b11b5c254b5690f8a6a3ac8ab	final-source-crosswalk	repository-owner	2026-07-20T17:43:52+09:00
cloud-launch-training	learning/cloud-launch-v1.0.1	c13b944e41f7b3cbf4f6949636e2104218dc48a3	ae44708fdf4a3b0312af06d2f4785f282520d205	docs/commits/005.md	0ac4a141a5159c110e5d5fde7e82002a59b854c2	5218	docs/commits/005.md	b757f933bb9f6abb65ff1897940337d1d789dd5a	corrected	direct-content	0b47343e9a3e472b11b5c254b5690f8a6a3ac8ab	final-source-crosswalk	repository-owner	2026-07-20T17:43:52+09:00
cloud-launch-training	learning/cloud-launch-v1.0.1	c13b944e41f7b3cbf4f6949636e2104218dc48a3	ae44708fdf4a3b0312af06d2f4785f282520d205	docs/commits/006.md	6d98dab30206b76e521c940ae66db350441836a0	4780	docs/commits/006.md	5346d6f4790e7a6883169eb2ded417c2c87809c3	corrected	direct-content	0b47343e9a3e472b11b5c254b5690f8a6a3ac8ab	final-source-crosswalk	repository-owner	2026-07-20T17:43:52+09:00
cloud-launch-training	learning/cloud-launch-v1.0.1	c13b944e41f7b3cbf4f6949636e2104218dc48a3	ae44708fdf4a3b0312af06d2f4785f282520d205	docs/commits/007.md	115c9c1baef6547b4b3bc60bee14316e92b648ca	4535	docs/commits/007.md	142e8b26f1fb2f9a36776e2dcfd851bc8f200668	corrected	direct-content	0b47343e9a3e472b11b5c254b5690f8a6a3ac8ab	final-source-crosswalk	repository-owner	2026-07-20T17:43:52+09:00
cloud-launch-training	learning/cloud-launch-v1.0.1	c13b944e41f7b3cbf4f6949636e2104218dc48a3	ae44708fdf4a3b0312af06d2f4785f282520d205	docs/commits/008.md	9fca0abc4c2c688f55cca10aedc198be720c0f0b	4354	docs/commits/008.md	5534fdca926b4582f654384aa176d51257d1a07e	corrected	direct-content	0b47343e9a3e472b11b5c254b5690f8a6a3ac8ab	final-source-crosswalk	repository-owner	2026-07-20T17:43:52+09:00
cloud-launch-training	learning/cloud-launch-v1.0.1	c13b944e41f7b3cbf4f6949636e2104218dc48a3	ae44708fdf4a3b0312af06d2f4785f282520d205	docs/commits/009.md	dd77913c8d5b49b91a0f3fc1e97ec69fbfcc7a83	4298	docs/commits/009.md	bf16011f561826a73cc300e566776f66f63fa862	corrected	direct-content	0b47343e9a3e472b11b5c254b5690f8a6a3ac8ab	final-source-crosswalk	repository-owner	2026-07-20T17:43:52+09:00
cloud-launch-training	learning/cloud-launch-v1.0.1	c13b944e41f7b3cbf4f6949636e2104218dc48a3	ae44708fdf4a3b0312af06d2f4785f282520d205	docs/commits/010.md	7aa30aa15074fe621eb16abd6b848e70fa9ca698	3929	docs/commits/010.md	f8f3e94a214f0fa9864be6d96e17df78c9492754	corrected	direct-content	0b47343e9a3e472b11b5c254b5690f8a6a3ac8ab	final-source-crosswalk	repository-owner	2026-07-20T17:43:52+09:00
cloud-launch-training	learning/cloud-launch-v1.0.1	c13b944e41f7b3cbf4f6949636e2104218dc48a3	ae44708fdf4a3b0312af06d2f4785f282520d205	docs/commits/011.md	2baf8a65a9028e225b3499d39dbe2b13655b9541	3703	docs/commits/011.md	a42c8e0b58409d6af0d65472b4fa87dc88074ca2	corrected	direct-content	0b47343e9a3e472b11b5c254b5690f8a6a3ac8ab	final-source-crosswalk	repository-owner	2026-07-20T17:43:52+09:00
cloud-launch-training	learning/cloud-launch-v1.0.1	c13b944e41f7b3cbf4f6949636e2104218dc48a3	ae44708fdf4a3b0312af06d2f4785f282520d205	docs/commits/012.md	d391df742e27ba85293404c52be38745bce2451a	4428	docs/commits/012.md	c43275882246685bf902c3bc3c6f3e6ae6cdf263	corrected	direct-content	0b47343e9a3e472b11b5c254b5690f8a6a3ac8ab	final-source-crosswalk	repository-owner	2026-07-20T17:43:52+09:00
cloud-launch-training	learning/cloud-launch-v1.0.1	c13b944e41f7b3cbf4f6949636e2104218dc48a3	ae44708fdf4a3b0312af06d2f4785f282520d205	docs/commits/013.md	a3ac99f92a2b43f9cf8041ba5d6bcfac1dcddbc9	3760	docs/commits/013.md	8baf89e26291cd06c62446b831ee959c7befb8d0	corrected	direct-content	0b47343e9a3e472b11b5c254b5690f8a6a3ac8ab	final-source-crosswalk	repository-owner	2026-07-20T17:43:52+09:00
