repository	old_ref	old_tip	old_tree	old_path	old_blob	old_bytes	final_path	final_blob	disposition	review_mode	final_source_basis	reason	reviewer	reviewed_at
portfolio-site	learning/portfolio-v1	d40b2d51b50209524b103a69890e7bc20eca9365	f9e85943784e5e1dce037c56ac2e245b96241aed	docs/commits/001.md	84c51a5ec86bb9436e703eaa657aa37ba42548f1	7132	docs/commits/001.md	41c9bddc64b70b83d7318c6573239a89dc5e2b9f	corrected	metadata-only	38f61b1a405d1e1e72342f290cf36cdf6b1ef111	answer body reused while final commit metadata and links were normalized; stable_id=answer:001; publication_basis=6757af78f48ede995a801c21dd9d53c28c6c8aef	repository-owner	2026-07-20T21:56:02+09:00
portfolio-site	learning/portfolio-v1	d40b2d51b50209524b103a69890e7bc20eca9365	f9e85943784e5e1dce037c56ac2e245b96241aed	docs/commits/002.md	63f176f2eecd627d719de5bbc3618c5134b1bce2	9053	docs/commits/002.md	258d75c28b480e44c49651b1656b2114fdc551eb	corrected	metadata-only	38f61b1a405d1e1e72342f290cf36cdf6b1ef111	answer body reused while final commit metadata and links were normalized; stable_id=answer:002; publication_basis=6757af78f48ede995a801c21dd9d53c28c6c8aef	repository-owner	2026-07-20T21:56:02+09:00
portfolio-site	learning/portfolio-v1	d40b2d51b50209524b103a69890e7bc20eca9365	f9e85943784e5e1dce037c56ac2e245b96241aed	docs/commits/003.md	6897f71367c720568031c6ec8b8d2061a3a33343	9358	docs/commits/003.md	665705209f6ce7c6e6c5d0bb73e499af1be9f7a9	corrected	metadata-only	38f61b1a405d1e1e72342f290cf36cdf6b1ef111	answer body reused while final commit metadata and links were normalized; stable_id=answer:003; publication_basis=6757af78f48ede995a801c21dd9d53c28c6c8aef	repository-owner	2026-07-20T21:56:02+09:00
portfolio-site	learning/portfolio-v1	d40b2d51b50209524b103a69890e7bc20eca9365	f9e85943784e5e1dce037c56ac2e245b96241aed	docs/commits/004.md	30b726812de24b4091e79c39c9f62b9686d7d9cc	9412	docs/commits/004.md	e2317bda33698359a9ea209e46cc1579bab6ae7c	corrected	metadata-only	38f61b1a405d1e1e72342f290cf36cdf6b1ef111	answer body reused while final commit metadata and links were normalized; stable_id=answer:004; publication_basis=6757af78f48ede995a801c21dd9d53c28c6c8aef	repository-owner	2026-07-20T21:56:02+09:00
portfolio-site	learning/portfolio-v1	d40b2d51b50209524b103a69890e7bc20eca9365	f9e85943784e5e1dce037c56ac2e245b96241aed	docs/commits/005.md	86faaa351285543315d792761c4080d045a1974b	7206	docs/commits/005.md	92453293936bebedd91d716dda8346e08222c4a0	corrected	metadata-only	38f61b1a405d1e1e72342f290cf36cdf6b1ef111	answer body reused while final commit metadata and links were normalized; stable_id=answer:005; publication_basis=6757af78f48ede995a801c21dd9d53c28c6c8aef	repository-owner	2026-07-20T21:56:02+09:00
portfolio-site	learning/portfolio-v1	d40b2d51b50209524b103a69890e7bc20eca9365	f9e85943784e5e1dce037c56ac2e245b96241aed	docs/commits/006.md	dd8455bbbb118c23bf8bc22ab0369d0ffa0e02a9	8223	docs/commits/006.md	439888c48e5ae1adbae10c50c67918a51017f57c	corrected	metadata-only	38f61b1a405d1e1e72342f290cf36cdf6b1ef111	answer body reused while final commit metadata and links were normalized; stable_id=answer:006; publication_basis=6757af78f48ede995a801c21dd9d53c28c6c8aef	repository-owner	2026-07-20T21:56:02+09:00
portfolio-site	learning/portfolio-v1	d40b2d51b50209524b103a69890e7bc20eca9365	f9e85943784e5e1dce037c56ac2e245b96241aed	docs/commits/007.md	672aff41c8c0d4ae14fab6d3e70f12ab8d0a939a	8117	docs/commits/007.md	6cd31b4681a2c34fe12ef24a7174f080a127ea10	corrected	metadata-only	38f61b1a405d1e1e72342f290cf36cdf6b1ef111	answer body reused while final commit metadata and links were normalized; stable_id=answer:007; publication_basis=6757af78f48ede995a801c21dd9d53c28c6c8aef	repository-owner	2026-07-20T21:56:02+09:00
portfolio-site	learning/portfolio-v1	d40b2d51b50209524b103a69890e7bc20eca9365	f9e85943784e5e1dce037c56ac2e245b96241aed	docs/commits/008.md	b38c1f84e7ccf5cf1c67343fbf6055c2028b9fda	9688	docs/commits/008.md	f81514f9c83d0214c5263f6500f579f96f81b941	corrected	metadata-only	38f61b1a405d1e1e72342f290cf36cdf6b1ef111	answer body reused while final commit metadata and links were normalized; stable_id=answer:008; publication_basis=6757af78f48ede995a801c21dd9d53c28c6c8aef	repository-owner	2026-07-20T21:56:02+09:00
portfolio-site	learning/portfolio-v1	d40b2d51b50209524b103a69890e7bc20eca9365	f9e85943784e5e1dce037c56ac2e245b96241aed	docs/commits/009.md	9a4f6f6e8608a0444895caca198bf56a5a93f11a	9462	docs/commits/009.md	dd8476217c54a70491c1061700113f969dbf15fb	corrected	metadata-only	38f61b1a405d1e1e72342f290cf36cdf6b1ef111	answer body reused while final commit metadata and links were normalized; stable_id=answer:009; publication_basis=6757af78f48ede995a801c21dd9d53c28c6c8aef	repository-owner	2026-07-20T21:56:02+09:00
portfolio-site	learning/portfolio-v1	d40b2d51b50209524b103a69890e7bc20eca9365	f9e85943784e5e1dce037c56ac2e245b96241aed	docs/commits/010.md	409b488e9e55d6bbd86a971c988c0b37b2959b61	9965	docs/commits/010.md	8dbb8528d28744e602935008e4afd070ee7aafba	corrected	metadata-only	38f61b1a405d1e1e72342f290cf36cdf6b1ef111	answer body reused while final commit metadata and links were normalized; stable_id=answer:010; publication_basis=6757af78f48ede995a801c21dd9d53c28c6c8aef	repository-owner	2026-07-20T21:56:02+09:00
