stable_path_id	corpus_stable_id	old_path	scope	relation	v1_ref_tip_tree	v1_mode_blob	v1_0_1_ref_tip_tree	v1_0_1_mode_blob	disposition	review_mode	final_basis_commit	final_basis_tree	final_path	final_mode_blob	reason	reviewer	reviewed_at_kst
betting-path-001	path:.gitignore	.gitignore	final-source	identical	learning/betting-v1@4384d307461be43d3ae4761a8de60615a2594336#bebd3140dd4b21cb452724b51502b3413c13434e	100644@b3146c2d5df29d605b003c4225bf6c5df01c9f94	learning/betting-v1.0.1@167b3b512313ce4ced13b466d7c6e50dc0096709#d1b0954d376f9ffd88573b548579c4e9a383caac	100644@b3146c2d5df29d605b003c4225bf6c5df01c9f94	source-freeze-exact	oid-identical	6ceacca9fceab3638bd710e55a7f1131c180e0a7	422a168b44b089d9d1d512126d3db01a01d17ada	.gitignore	100644@b32408d64f15a0bc770b81fe4ffc5d8cb1e51744	source-freeze-exact; relation=identical; preliminary_review=no; final_learning_tip=9c8038887599368f57ac155978af75e575980307; final_learning_tree=06994f2ad51df10fc505b0c43f63c32e37a59900	seungwoo7050/repository-owner-review	2026-07-21T12:44:00+09:00
betting-path-002	path:.mvn/wrapper/maven-wrapper.properties	.mvn/wrapper/maven-wrapper.properties	final-source	identical	learning/betting-v1@4384d307461be43d3ae4761a8de60615a2594336#bebd3140dd4b21cb452724b51502b3413c13434e	100644@c0bcafe984fe33005eacbcfabe8b188e0f75afcd	learning/betting-v1.0.1@167b3b512313ce4ced13b466d7c6e50dc0096709#d1b0954d376f9ffd88573b548579c4e9a383caac	100644@c0bcafe984fe33005eacbcfabe8b188e0f75afcd	source-freeze-exact	oid-identical	6ceacca9fceab3638bd710e55a7f1131c180e0a7	422a168b44b089d9d1d512126d3db01a01d17ada	.mvn/wrapper/maven-wrapper.properties	100644@c0bcafe984fe33005eacbcfabe8b188e0f75afcd	source-freeze-exact; relation=identical; preliminary_review=no; final_learning_tip=9c8038887599368f57ac155978af75e575980307; final_learning_tree=06994f2ad51df10fc505b0c43f63c32e37a59900	seungwoo7050/repository-owner-review	2026-07-21T12:44:00+09:00
betting-path-003	index:root	README.md	final-source	divergent	learning/betting-v1@4384d307461be43d3ae4761a8de60615a2594336#bebd3140dd4b21cb452724b51502b3413c13434e	100644@a2accc47f0af0ab4853399469b4950147f01e642	learning/betting-v1.0.1@167b3b512313ce4ced13b466d7c6e50dc0096709#d1b0954d376f9ffd88573b548579c4e9a383caac	100644@685ea403bcad5a82b48658a5298d1210ff14d6eb	take-from-frozen-source-not-learning	direct-content	6ceacca9fceab3638bd710e55a7f1131c180e0a7	422a168b44b089d9d1d512126d3db01a01d17ada	README.md	100644@3cd811b63c41817a65b26ad7fc53d2848823c9e7	take-from-frozen-source-not-learning; relation=divergent; preliminary_review=source-owner; final_learning_tip=9c8038887599368f57ac155978af75e575980307; final_learning_tree=06994f2ad51df10fc505b0c43f63c32e37a59900	seungwoo7050/repository-owner-review	2026-07-21T12:44:00+09:00
betting-path-004	path:config/checkstyle/checkstyle.xml	config/checkstyle/checkstyle.xml	final-source	identical	learning/betting-v1@4384d307461be43d3ae4761a8de60615a2594336#bebd3140dd4b21cb452724b51502b3413c13434e	100644@7bd89718533434dd343bd0825d95f79f297b7829	learning/betting-v1.0.1@167b3b512313ce4ced13b466d7c6e50dc0096709#d1b0954d376f9ffd88573b548579c4e9a383caac	100644@7bd89718533434dd343bd0825d95f79f297b7829	source-freeze-exact	oid-identical	6ceacca9fceab3638bd710e55a7f1131c180e0a7	422a168b44b089d9d1d512126d3db01a01d17ada	config/checkstyle/checkstyle.xml	100644@7bd89718533434dd343bd0825d95f79f297b7829	source-freeze-exact; relation=identical; preliminary_review=no; final_learning_tip=9c8038887599368f57ac155978af75e575980307; final_learning_tree=06994f2ad51df10fc505b0c43f63c32e37a59900	seungwoo7050/repository-owner-review	2026-07-21T12:44:00+09:00
betting-path-005	index:docs	docs/README.md	final-learning	divergent	learning/betting-v1@4384d307461be43d3ae4761a8de60615a2594336#bebd3140dd4b21cb452724b51502b3413c13434e	100644@e3986c476029fff6c2aac72619fb9b3ccf7c797e	learning/betting-v1.0.1@167b3b512313ce4ced13b466d7c6e50dc0096709#d1b0954d376f9ffd88573b548579c4e9a383caac	100644@388387244417c660c3a48a07c16d86048df66f1a	rewrite-current-learning-entry	direct-content	6ceacca9fceab3638bd710e55a7f1131c180e0a7	422a168b44b089d9d1d512126d3db01a01d17ada	docs/README.md	100644@b7553c699ddd70a2b95ff1e11c085a1124fcf7c5	rewrite-current-learning-entry; relation=divergent; preliminary_review=yes; final_learning_tip=9c8038887599368f57ac155978af75e575980307; final_learning_tree=06994f2ad51df10fc505b0c43f63c32e37a59900	seungwoo7050/repository-owner-review	2026-07-21T12:44:00+09:00
betting-path-006	030	docs/commits-betting-v1.0.1/030.md	discarded	v1.0.1-only	learning/betting-v1@4384d307461be43d3ae4761a8de60615a2594336#bebd3140dd4b21cb452724b51502b3413c13434e	-	learning/betting-v1.0.1@167b3b512313ce4ced13b466d7c6e50dc0096709#d1b0954d376f9ffd88573b548579c4e9a383caac	100644@9ffa903ec390c67bf2676e0938653fb9a5621c35	drop-navigation-only-wrapper	metadata-only	6ceacca9fceab3638bd710e55a7f1131c180e0a7	422a168b44b089d9d1d512126d3db01a01d17ada	-	-	drop-navigation-only-wrapper; relation=v1.0.1-only; preliminary_review=no; final_learning_tip=9c8038887599368f57ac155978af75e575980307; final_learning_tree=06994f2ad51df10fc505b0c43f63c32e37a59900	seungwoo7050/repository-owner-review	2026-07-21T12:44:00+09:00
betting-path-007	index:docs/commits-betting-v1.0.1	docs/commits-betting-v1.0.1/README.md	discarded	v1.0.1-only	learning/betting-v1@4384d307461be43d3ae4761a8de60615a2594336#bebd3140dd4b21cb452724b51502b3413c13434e	-	learning/betting-v1.0.1@167b3b512313ce4ced13b466d7c6e50dc0096709#d1b0954d376f9ffd88573b548579c4e9a383caac	100644@e0acfa73188cff9d6151ce4002d2ee7734de79f5	drop-navigation-only-wrapper	metadata-only	6ceacca9fceab3638bd710e55a7f1131c180e0a7	422a168b44b089d9d1d512126d3db01a01d17ada	-	-	drop-navigation-only-wrapper; relation=v1.0.1-only; preliminary_review=no; final_learning_tip=9c8038887599368f57ac155978af75e575980307; final_learning_tree=06994f2ad51df10fc505b0c43f63c32e37a59900	seungwoo7050/repository-owner-review	2026-07-21T12:44:00+09:00
betting-path-008	000	docs/commits-codex-5.6/000.md	discarded	identical	learning/betting-v1@4384d307461be43d3ae4761a8de60615a2594336#bebd3140dd4b21cb452724b51502b3413c13434e	100644@c0d799def403264a9fd5d1659fc896ca3d22ff56	learning/betting-v1.0.1@167b3b512313ce4ced13b466d7c6e50dc0096709#d1b0954d376f9ffd88573b548579c4e9a383caac	100644@c0d799def403264a9fd5d1659fc896ca3d22ff56	drop-obsolete-codex-basis	oid-identical	6ceacca9fceab3638bd710e55a7f1131c180e0a7	422a168b44b089d9d1d512126d3db01a01d17ada	-	-	drop-obsolete-codex-basis; relation=identical; preliminary_review=no; final_learning_tip=9c8038887599368f57ac155978af75e575980307; final_learning_tree=06994f2ad51df10fc505b0c43f63c32e37a59900	seungwoo7050/repository-owner-review	2026-07-21T12:44:00+09:00
betting-path-009	001	docs/commits-codex-5.6/001.md	discarded	identical	learning/betting-v1@4384d307461be43d3ae4761a8de60615a2594336#bebd3140dd4b21cb452724b51502b3413c13434e	100644@7a9075cf648886a772cbe4fe238bd1faa159331e	learning/betting-v1.0.1@167b3b512313ce4ced13b466d7c6e50dc0096709#d1b0954d376f9ffd88573b548579c4e9a383caac	100644@7a9075cf648886a772cbe4fe238bd1faa159331e	drop-obsolete-codex-basis	oid-identical	6ceacca9fceab3638bd710e55a7f1131c180e0a7	422a168b44b089d9d1d512126d3db01a01d17ada	-	-	drop-obsolete-codex-basis; relation=identical; preliminary_review=no; final_learning_tip=9c8038887599368f57ac155978af75e575980307; final_learning_tree=06994f2ad51df10fc505b0c43f63c32e37a59900	seungwoo7050/repository-owner-review	2026-07-21T12:44:00+09:00
betting-path-010	002	docs/commits-codex-5.6/002.md	discarded	identical	learning/betting-v1@4384d307461be43d3ae4761a8de60615a2594336#bebd3140dd4b21cb452724b51502b3413c13434e	100644@7443a94965bc67e16be2f76c9ac31940c6243e4e	learning/betting-v1.0.1@167b3b512313ce4ced13b466d7c6e50dc0096709#d1b0954d376f9ffd88573b548579c4e9a383caac	100644@7443a94965bc67e16be2f76c9ac31940c6243e4e	drop-obsolete-codex-basis	oid-identical	6ceacca9fceab3638bd710e55a7f1131c180e0a7	422a168b44b089d9d1d512126d3db01a01d17ada	-	-	drop-obsolete-codex-basis; relation=identical; preliminary_review=no; final_learning_tip=9c8038887599368f57ac155978af75e575980307; final_learning_tree=06994f2ad51df10fc505b0c43f63c32e37a59900	seungwoo7050/repository-owner-review	2026-07-21T12:44:00+09:00
