record_type	surface	ref_or_path	old_oid	new_oid	old_tree	new_tree	relation	verification
transition	source	refs/heads/main	f6f358d914f429749dec83ef7a266ae7d50778b5	54f89079fecc4690c0126398103accd31437e8d1	5fc7107b3f5fbb4d0d890e1602d17b9073748e72	5fe2d781ee4d08adfa8551706593449e076715b2	corrected-tip-replacement	README.md:+1/-0;deletions=0;ordinals-1-17-oid-preserved
transition	tag	refs/tags/odds-v1.0.1	b0d1f674a4877ab2bfc43f0e61919cb483f34aab	f82124f469ddae728379135ee5de3df36edceee5	5fc7107b3f5fbb4d0d890e1602d17b9073748e72	5fe2d781ee4d08adfa8551706593449e076715b2	annotated-tag-replacement	old-peel=f6f358d914f429749dec83ef7a266ae7d50778b5;new-peel=54f89079fecc4690c0126398103accd31437e8d1
transition	learning	learning/current:notes/evidence	79d482a8723fd4b333e2d18f127cd99ad1bca510	f7df4eb2592e78307fe3d97c2c33947da4d107cf	24673e46256ed55d2b1e3b873eb9bc11352fe327	6b6fa8a3eff3ab7a7724920708140c75016d0ef8	rebased-on-corrected-source	subject=docs(notes):publish-odds-learning-entry-and-evidence;paths=10
transition	learning	learning/current:answers	c0b5901414de3d64e8d36481ddcd4a172a2b2ce6	25b02ad6a60cb642594a57f04ba708c53fb5baaf	99d080cea7842dccdf345a5670fd9ac007e82a47	d3c0b06f4ef6b031891bab4e6faa9c2eaef58123	rebased-on-corrected-notes	subject=docs(commits):publish-odds-source-answer-keys;paths=19
transition	learning	refs/heads/learning/current	6b75f6cb5110e7b5023b3967e5747a4dc36247b9	df00e5cdefbe9d55fbe4cb828a9d2c0ee5b1b8af	a3b181874dfd21575f016e12b1d15b2be027b6de	f9d8698c786a9863fbe620f358fe9e1a2e91a607	non-ff-practices-tip-replacement	subject=docs(practice):publish-odds-practice-sheets;paths=14
corrected_blob	learning	docs/README.md	c7e2c1d7abd814f296f29c11f9abd27b99d0d49b	88dc50ba3604be54f7765b94313c3c321d8905f5	a3b181874dfd21575f016e12b1d15b2be027b6de	f9d8698c786a9863fbe620f358fe9e1a2e91a607	metadata-only-reviewed	corrected-source-tip-and-tree
corrected_blob	learning	docs/commits/017.md	7ad2b82114340a230581e801f8fb14936a741cf1	920694b03ff0a50a0364ee5e1f7d316511bb9d20	a3b181874dfd21575f016e12b1d15b2be027b6de	f9d8698c786a9863fbe620f358fe9e1a2e91a607	direct-content-reviewed	backlink-responsibility-and-exact-source-diff
corrected_blob	learning	docs/commits/README.md	cdddf4b7243c2384cde98681994e349844365a3b	db12393ff40a6506cf55909de0589daf41d6c3ed	a3b181874dfd21575f016e12b1d15b2be027b6de	f9d8698c786a9863fbe620f358fe9e1a2e91a607	metadata-only-reviewed	corrected-basis-tag-and-count-ledger
corrected_blob	learning	docs/practice/README.md	5c3255a5692cede84d92faf7c0f99a229d4ad1df	5613a041fcb661fe7c5cc384373672a8f44bf307	a3b181874dfd21575f016e12b1d15b2be027b6de	f9d8698c786a9863fbe620f358fe9e1a2e91a607	metadata-only-reviewed	corrected-basis-tag-and-omission-ledger
evidence_blob	learning	load-test/results/2026-05-28/BASELINE.md	d75623d1205f511e6fbcc363159be82221fbb012	d75623d1205f511e6fbcc363159be82221fbb012	24673e46256ed55d2b1e3b873eb9bc11352fe327	6b6fa8a3eff3ab7a7724920708140c75016d0ef8	oid-identical-preserved	notes-old=79d482a8723fd4b333e2d18f127cd99ad1bca510;notes-new=f7df4eb2592e78307fe3d97c2c33947da4d107cf
