row	old_commit	old_parent	old_tree	old_patch	old_timestamp	source_refs	new_commit	new_parent	new_tree	new_patch	new_timestamp	patch_relation	disposition
1	8cfe6b8999aed56488d8dd21a409a31f23c2bbb3	-	6a7c68e78a6b5ac286dbf5bfba2a165b91fab206	e1fbdf91160277696833c4b8e387f1a90e0e0c64	2026-03-23T09:00:00+09:00	v0.1.0	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
2	0deebdadaf1819873a9a1bd6ec196e080d412ee4	-	d4c66db3c1834d584d7ad6771788f6010b4bd45c	28b809a52d470cb452cfbd64f9c392c8b6c572a8	2026-03-23T11:12:31+09:00	main,odds-v1,odds-v1.0.1	6026522268db90699f602739435c048506ff2cb3	-	7e3a04a77e0ee61ebb95f043cedca4a00aa657b8	b6fe959d03e8034b30ecdd59c0f4d15df1f5db1d	2026-03-23T11:12:31+09:00	provenance-cleanup-patch	retained-main-replay
3	68282668ece630da591018bd35cd2876dbe51cf9	-	6a7c68e78a6b5ac286dbf5bfba2a165b91fab206	e1fbdf91160277696833c4b8e387f1a90e0e0c64	2026-03-23T11:12:31+09:00	diagnostic-codex-5.6-red,pre-odds-v1	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
4	90696d84246e5413ee731d1b171981757ae6a656	68282668ece630da591018bd35cd2876dbe51cf9	5591a21bc7e791789ddcc477b83493ca6a961632	9c49a5e2fd58b2faaed27c6adebd44743f4dcd07	2026-03-23T11:46:15+09:00	diagnostic-codex-5.6-red,pre-odds-v1	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
5	a99ddc45601746f5063190c02d289467a1412a43	0deebdadaf1819873a9a1bd6ec196e080d412ee4	cd0622c965e6ae76ed682adf3d9654c2b8e87878	9c49a5e2fd58b2faaed27c6adebd44743f4dcd07	2026-03-23T11:46:15+09:00	main,odds-v1,odds-v1.0.1	8e54ee26de4c5da2fbd09a6755bd781136411ef3	6026522268db90699f602739435c048506ff2cb3	471611319f8656d810ac84141f7566aeb2488879	9c49a5e2fd58b2faaed27c6adebd44743f4dcd07	2026-03-23T11:46:15+09:00	stable-patch-preserved	retained-main-replay
6	e3d997877cfbda3857771b9a2b33baeb372aa664	8cfe6b8999aed56488d8dd21a409a31f23c2bbb3	5591a21bc7e791789ddcc477b83493ca6a961632	9c49a5e2fd58b2faaed27c6adebd44743f4dcd07	2026-03-23T15:00:00+09:00	v0.1.0	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
7	020229b6f4afb15283fdfa43e26a3300ee3815a9	e3d997877cfbda3857771b9a2b33baeb372aa664	dd8a658f73f10eb279c7b8245c0156a4e4a44418	4f9c68a63d817264898f4e7e5e75945925d15853	2026-03-24T09:00:00+09:00	v0.1.0	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
8	2bfbb1ac6ef193088fbae9b53834d245f81a153a	90696d84246e5413ee731d1b171981757ae6a656	dd8a658f73f10eb279c7b8245c0156a4e4a44418	4f9c68a63d817264898f4e7e5e75945925d15853	2026-03-24T10:50:41+09:00	diagnostic-codex-5.6-red,pre-odds-v1	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
9	31faac1d1378a7a719cf3b3382cbc270b006a959	a99ddc45601746f5063190c02d289467a1412a43	377f8c02e84278a67c87fc6346de3d429ae05ba5	4f9c68a63d817264898f4e7e5e75945925d15853	2026-03-24T10:50:41+09:00	main,odds-v1,odds-v1.0.1	ece4f2b194a3c8f92ec481e4c0a154a0775c3e4c	8e54ee26de4c5da2fbd09a6755bd781136411ef3	bb53e19c9d41a7428456af5c41ba084c780c1e59	4f9c68a63d817264898f4e7e5e75945925d15853	2026-03-24T10:50:41+09:00	stable-patch-preserved	retained-main-replay
10	66f2aaaa867d4a0284628eb9216d76fb8b4b93e0	2bfbb1ac6ef193088fbae9b53834d245f81a153a	2f04eb56002b929899f5e43a7ca78c2e8fda7e24	7f8811b164a3cabc239f1519f27fa4d13f23d9d2	2026-03-24T11:03:08+09:00	diagnostic-codex-5.6-red,pre-odds-v1	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
11	f52860b6275b606b96a6a8765fdbb97c81cabddd	31faac1d1378a7a719cf3b3382cbc270b006a959	e6872839ecaf4a72c700bc6f2bc453826206db70	7f8811b164a3cabc239f1519f27fa4d13f23d9d2	2026-03-24T11:03:08+09:00	main,odds-v1,odds-v1.0.1	598f18dc8ce63b1a8b0f9612ad0ec0047408c4ad	ece4f2b194a3c8f92ec481e4c0a154a0775c3e4c	205f5baa53b23ea6f9c5f68d419d541a863d985e	7f8811b164a3cabc239f1519f27fa4d13f23d9d2	2026-03-24T11:03:08+09:00	stable-patch-preserved	retained-main-replay
12	463628317be28f64be25408f9a856c46a8c8563e	020229b6f4afb15283fdfa43e26a3300ee3815a9	2f04eb56002b929899f5e43a7ca78c2e8fda7e24	7f8811b164a3cabc239f1519f27fa4d13f23d9d2	2026-03-24T15:00:00+09:00	v0.1.0	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
13	4f1f3bbdc2792fc42fb1d06be79072f9e33d1565	463628317be28f64be25408f9a856c46a8c8563e	27a047ff45bfe1fbac50ad7cc5cb920321099258	5dcdfc50ead2675336d5994d71e17b9c308af87a	2026-03-25T09:00:00+09:00	v0.1.0	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
14	63264b4fd136855565d739c1a4cdb8c7ae5f8d26	66f2aaaa867d4a0284628eb9216d76fb8b4b93e0	27a047ff45bfe1fbac50ad7cc5cb920321099258	5dcdfc50ead2675336d5994d71e17b9c308af87a	2026-03-25T11:01:15+09:00	diagnostic-codex-5.6-red,pre-odds-v1	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
15	c31ccdcee4ab8347d349f755adcb069f30faf442	f52860b6275b606b96a6a8765fdbb97c81cabddd	5f127e6e0afcc78fa8c56603dbb90fbca1bcd993	5dcdfc50ead2675336d5994d71e17b9c308af87a	2026-03-25T11:01:15+09:00	main,odds-v1,odds-v1.0.1	951916bd63346d913f4bc33de465652c67f20b4c	598f18dc8ce63b1a8b0f9612ad0ec0047408c4ad	6ad782c4394efff510eece8727f941a562ca1cdc	5dcdfc50ead2675336d5994d71e17b9c308af87a	2026-03-25T11:01:15+09:00	stable-patch-preserved	retained-main-replay
16	70eed4dbccceed4751bd761804fed0066bd4761d	63264b4fd136855565d739c1a4cdb8c7ae5f8d26	7961ffcad349aec2a7691a996859f864f2447663	b43fc0ce5ea5f39b73090135ca45d10b02c535c8	2026-03-25T11:36:21+09:00	diagnostic-codex-5.6-red,pre-odds-v1	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
17	a7ba83a4f85e4b0e89980d08557658560e3055af	c31ccdcee4ab8347d349f755adcb069f30faf442	45cbf1887cd873fb731696e9f07b4bdec919b02d	b43fc0ce5ea5f39b73090135ca45d10b02c535c8	2026-03-25T11:36:21+09:00	main,odds-v1,odds-v1.0.1	868b97e7d2e1bab43123c00dda4be07189fcb195	951916bd63346d913f4bc33de465652c67f20b4c	d48aea70d1488c31c78b111edb7c215af3f337e8	89b3a39ace20e8c33d8c786e05fab1ea2943f89d	2026-03-25T11:36:21+09:00	provenance-cleanup-patch	retained-main-replay
18	d87257ecf2a37db244d231dfaa0e0170a9863a6f	4f1f3bbdc2792fc42fb1d06be79072f9e33d1565	7961ffcad349aec2a7691a996859f864f2447663	b43fc0ce5ea5f39b73090135ca45d10b02c535c8	2026-03-25T15:00:00+09:00	v0.1.0	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
19	5396941d31ab78011780da9fed4f7c6b68e736a4	d87257ecf2a37db244d231dfaa0e0170a9863a6f	f1db31ab74271bc835adb03f1a90177db65cca47	5eadd550d93d55ba1047bbf5f8ce1f30990bbac9	2026-03-26T09:00:00+09:00	v0.1.0	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
20	79d734f1fdd3d40adfe456ee1800363458c7af1b	70eed4dbccceed4751bd761804fed0066bd4761d	f1db31ab74271bc835adb03f1a90177db65cca47	5eadd550d93d55ba1047bbf5f8ce1f30990bbac9	2026-03-26T11:09:21+09:00	diagnostic-codex-5.6-red,pre-odds-v1	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
21	ce7f89f66bb6ebfa9138a59729a9ad2c75b68df9	a7ba83a4f85e4b0e89980d08557658560e3055af	3facb9704db7286bae0ff98f152e0f4a8527c985	5eadd550d93d55ba1047bbf5f8ce1f30990bbac9	2026-03-26T11:09:21+09:00	main,odds-v1,odds-v1.0.1	06c61db951d12834b3ad576a0e31410a60c8fb2b	868b97e7d2e1bab43123c00dda4be07189fcb195	9bd0a63b2aea59d3a85bee83b8ca258c7c43fe96	c551ff3c83b298aeb9739da24bfe092a3e67cc89	2026-03-26T11:09:21+09:00	provenance-cleanup-patch	retained-main-replay
22	776bb7efa239891a95ee9d2becfc8ec17adf8c14	79d734f1fdd3d40adfe456ee1800363458c7af1b	075b239d5d22b180d61cbacd20d24395eb70a131	7f2994e61a36a2adee44ae8475fefa6af0c3ecd2	2026-03-26T11:26:19+09:00	diagnostic-codex-5.6-red,pre-odds-v1	-	-	-	-	-	not-replayed	removed-with-deleted-source-tags
