stable_path_id	corpus_stable_id	old_path	scope	relation	old_learning_ref_tip_tree	old_learning_ref_mode_blob	legacy_main_mode_blob	disposition	review_mode	final_basis_commit	final_basis_tree	final_path	reason	reviewer	reviewed_at_kst
wallet::.gitignore	path	.gitignore	source-shared	source-identical-all	learning/wallet-v1@009de12feb4dc99410dddb08469d9261e4a3ffcf/tree:5cfc9f474b3e890f863b11e6bdddbbab6c501516;learning/wallet-v1.0.1@dacb59158a50897c4de93ff780663862ce0ab407/tree:5da42d781a24bd4edda3b4fc5bc6436dd37e0d0e;learning/wallet-v1.0.2@33552cb95a3ff8f443ec8c471c24ba4a41bb3522/tree:bdeeabf374cb4101d20b76a2c2c24d559323215a	learning/wallet-v1=100644:b3146c2d5df29d605b003c4225bf6c5df01c9f94;learning/wallet-v1.0.1=100644:b3146c2d5df29d605b003c4225bf6c5df01c9f94;learning/wallet-v1.0.2=100644:b3146c2d5df29d605b003c4225bf6c5df01c9f94	100644:b3146c2d5df29d605b003c4225bf6c5df01c9f94	inherit-frozen-source	oid-identical	a4be0d5fdfdd08a76952dbafadadb620ffdbcc8e	6599086e7a71250f7dc1a9c1747bd9f15a44aa97	.gitignore	learning copies have identical mode/blob; frozen source remains authoritative	wallet_learning_writer	2026-07-21T05:10:00+0900
wallet::.mvn/wrapper/maven-wrapper.properties	path	.mvn/wrapper/maven-wrapper.properties	source-shared	source-identical-all	learning/wallet-v1@009de12feb4dc99410dddb08469d9261e4a3ffcf/tree:5cfc9f474b3e890f863b11e6bdddbbab6c501516;learning/wallet-v1.0.1@dacb59158a50897c4de93ff780663862ce0ab407/tree:5da42d781a24bd4edda3b4fc5bc6436dd37e0d0e;learning/wallet-v1.0.2@33552cb95a3ff8f443ec8c471c24ba4a41bb3522/tree:bdeeabf374cb4101d20b76a2c2c24d559323215a	learning/wallet-v1=100644:c0bcafe984fe33005eacbcfabe8b188e0f75afcd;learning/wallet-v1.0.1=100644:c0bcafe984fe33005eacbcfabe8b188e0f75afcd;learning/wallet-v1.0.2=100644:c0bcafe984fe33005eacbcfabe8b188e0f75afcd	100644:c0bcafe984fe33005eacbcfabe8b188e0f75afcd	inherit-frozen-source	oid-identical	a4be0d5fdfdd08a76952dbafadadb620ffdbcc8e	6599086e7a71250f7dc1a9c1747bd9f15a44aa97	.mvn/wrapper/maven-wrapper.properties	learning copies have identical mode/blob; frozen source remains authoritative	wallet_learning_writer	2026-07-21T05:10:00+0900
wallet::README.md	index	README.md	source-shared	source-divergent	learning/wallet-v1@009de12feb4dc99410dddb08469d9261e4a3ffcf/tree:5cfc9f474b3e890f863b11e6bdddbbab6c501516;learning/wallet-v1.0.1@dacb59158a50897c4de93ff780663862ce0ab407/tree:5da42d781a24bd4edda3b4fc5bc6436dd37e0d0e;learning/wallet-v1.0.2@33552cb95a3ff8f443ec8c471c24ba4a41bb3522/tree:bdeeabf374cb4101d20b76a2c2c24d559323215a	learning/wallet-v1=100644:11c579d8d4d315afb8180f1eb8d0724f0118fb17;learning/wallet-v1.0.1=100644:0a2ce26925cd41feba52d4c9e7a32c47c5b8de9b;learning/wallet-v1.0.2=100644:abe5b96791aa3bb2fb0849f65042bd894e7896eb	100644:abe5b96791aa3bb2fb0849f65042bd894e7896eb	inherit-frozen-source	metadata-only	a4be0d5fdfdd08a76952dbafadadb620ffdbcc8e	6599086e7a71250f7dc1a9c1747bd9f15a44aa97	README.md	legacy learning source is stale, missing, or divergent; inherit the frozen source path	wallet_learning_writer	2026-07-21T05:10:00+0900
wallet::config/checkstyle/checkstyle.xml	path	config/checkstyle/checkstyle.xml	source-shared	source-identical-all	learning/wallet-v1@009de12feb4dc99410dddb08469d9261e4a3ffcf/tree:5cfc9f474b3e890f863b11e6bdddbbab6c501516;learning/wallet-v1.0.1@dacb59158a50897c4de93ff780663862ce0ab407/tree:5da42d781a24bd4edda3b4fc5bc6436dd37e0d0e;learning/wallet-v1.0.2@33552cb95a3ff8f443ec8c471c24ba4a41bb3522/tree:bdeeabf374cb4101d20b76a2c2c24d559323215a	learning/wallet-v1=100644:7bd89718533434dd343bd0825d95f79f297b7829;learning/wallet-v1.0.1=100644:7bd89718533434dd343bd0825d95f79f297b7829;learning/wallet-v1.0.2=100644:7bd89718533434dd343bd0825d95f79f297b7829	100644:7bd89718533434dd343bd0825d95f79f297b7829	inherit-frozen-source	oid-identical	a4be0d5fdfdd08a76952dbafadadb620ffdbcc8e	6599086e7a71250f7dc1a9c1747bd9f15a44aa97	config/checkstyle/checkstyle.xml	learning copies have identical mode/blob; frozen source remains authoritative	wallet_learning_writer	2026-07-21T05:10:00+0900
wallet::docs/README.md	index	docs/README.md	learning-only	learning-divergent	learning/wallet-v1@009de12feb4dc99410dddb08469d9261e4a3ffcf/tree:5cfc9f474b3e890f863b11e6bdddbbab6c501516;learning/wallet-v1.0.1@dacb59158a50897c4de93ff780663862ce0ab407/tree:5da42d781a24bd4edda3b4fc5bc6436dd37e0d0e;learning/wallet-v1.0.2@33552cb95a3ff8f443ec8c471c24ba4a41bb3522/tree:bdeeabf374cb4101d20b76a2c2c24d559323215a	learning/wallet-v1=100644:c5642618e3cf650950e7f6c667c80a8173b54054;learning/wallet-v1.0.1=100644:c5642618e3cf650950e7f6c667c80a8173b54054;learning/wallet-v1.0.2=100644:b9147f84442193a9234e01315d71b8bbab1df977	-	rewrite-current-entry	direct-content	a4be0d5fdfdd08a76952dbafadadb620ffdbcc8e	6599086e7a71250f7dc1a9c1747bd9f15a44aa97	docs/README.md	replace divergent legacy navigation with wallet-v1.0.2 and learning/current entry	wallet_learning_writer	2026-07-21T05:10:00+0900
wallet::docs/commits-codex-5.6/000.md	000	docs/commits-codex-5.6/000.md	learning-only	learning-identical-all	learning/wallet-v1@009de12feb4dc99410dddb08469d9261e4a3ffcf/tree:5cfc9f474b3e890f863b11e6bdddbbab6c501516;learning/wallet-v1.0.1@dacb59158a50897c4de93ff780663862ce0ab407/tree:5da42d781a24bd4edda3b4fc5bc6436dd37e0d0e;learning/wallet-v1.0.2@33552cb95a3ff8f443ec8c471c24ba4a41bb3522/tree:bdeeabf374cb4101d20b76a2c2c24d559323215a	learning/wallet-v1=100644:5b56759284842d21c90315afe777ea6de4b416f1;learning/wallet-v1.0.1=100644:5b56759284842d21c90315afe777ea6de4b416f1;learning/wallet-v1.0.2=100644:5b56759284842d21c90315afe777ea6de4b416f1	-	discard-duplicate-corpus-family	oid-identical	a4be0d5fdfdd08a76952dbafadadb620ffdbcc8e	6599086e7a71250f7dc1a9c1747bd9f15a44aa97	-	branch-identical tool-named family is superseded by the selected source-split corpus	wallet_learning_writer	2026-07-21T05:10:00+0900
wallet::docs/commits-codex-5.6/001.md	001	docs/commits-codex-5.6/001.md	learning-only	learning-identical-all	learning/wallet-v1@009de12feb4dc99410dddb08469d9261e4a3ffcf/tree:5cfc9f474b3e890f863b11e6bdddbbab6c501516;learning/wallet-v1.0.1@dacb59158a50897c4de93ff780663862ce0ab407/tree:5da42d781a24bd4edda3b4fc5bc6436dd37e0d0e;learning/wallet-v1.0.2@33552cb95a3ff8f443ec8c471c24ba4a41bb3522/tree:bdeeabf374cb4101d20b76a2c2c24d559323215a	learning/wallet-v1=100644:ec32e5d9e0ed8515d78acb05b2f48edcd5b95950;learning/wallet-v1.0.1=100644:ec32e5d9e0ed8515d78acb05b2f48edcd5b95950;learning/wallet-v1.0.2=100644:ec32e5d9e0ed8515d78acb05b2f48edcd5b95950	-	discard-duplicate-corpus-family	oid-identical	a4be0d5fdfdd08a76952dbafadadb620ffdbcc8e	6599086e7a71250f7dc1a9c1747bd9f15a44aa97	-	branch-identical tool-named family is superseded by the selected source-split corpus	wallet_learning_writer	2026-07-21T05:10:00+0900
wallet::docs/commits-codex-5.6/002.md	002	docs/commits-codex-5.6/002.md	learning-only	learning-identical-all	learning/wallet-v1@009de12feb4dc99410dddb08469d9261e4a3ffcf/tree:5cfc9f474b3e890f863b11e6bdddbbab6c501516;learning/wallet-v1.0.1@dacb59158a50897c4de93ff780663862ce0ab407/tree:5da42d781a24bd4edda3b4fc5bc6436dd37e0d0e;learning/wallet-v1.0.2@33552cb95a3ff8f443ec8c471c24ba4a41bb3522/tree:bdeeabf374cb4101d20b76a2c2c24d559323215a	learning/wallet-v1=100644:50780cc78336184e6b7002620387e77f43d0eae6;learning/wallet-v1.0.1=100644:50780cc78336184e6b7002620387e77f43d0eae6;learning/wallet-v1.0.2=100644:50780cc78336184e6b7002620387e77f43d0eae6	-	discard-duplicate-corpus-family	oid-identical	a4be0d5fdfdd08a76952dbafadadb620ffdbcc8e	6599086e7a71250f7dc1a9c1747bd9f15a44aa97	-	branch-identical tool-named family is superseded by the selected source-split corpus	wallet_learning_writer	2026-07-21T05:10:00+0900
wallet::docs/commits-codex-5.6/003.md	003	docs/commits-codex-5.6/003.md	learning-only	learning-identical-all	learning/wallet-v1@009de12feb4dc99410dddb08469d9261e4a3ffcf/tree:5cfc9f474b3e890f863b11e6bdddbbab6c501516;learning/wallet-v1.0.1@dacb59158a50897c4de93ff780663862ce0ab407/tree:5da42d781a24bd4edda3b4fc5bc6436dd37e0d0e;learning/wallet-v1.0.2@33552cb95a3ff8f443ec8c471c24ba4a41bb3522/tree:bdeeabf374cb4101d20b76a2c2c24d559323215a	learning/wallet-v1=100644:bf119b9b356d1fbe8f20c6bc8a4bffcaede3b40d;learning/wallet-v1.0.1=100644:bf119b9b356d1fbe8f20c6bc8a4bffcaede3b40d;learning/wallet-v1.0.2=100644:bf119b9b356d1fbe8f20c6bc8a4bffcaede3b40d	-	discard-duplicate-corpus-family	oid-identical	a4be0d5fdfdd08a76952dbafadadb620ffdbcc8e	6599086e7a71250f7dc1a9c1747bd9f15a44aa97	-	branch-identical tool-named family is superseded by the selected source-split corpus	wallet_learning_writer	2026-07-21T05:10:00+0900
wallet::docs/commits-codex-5.6/004.md	004	docs/commits-codex-5.6/004.md	learning-only	learning-identical-all	learning/wallet-v1@009de12feb4dc99410dddb08469d9261e4a3ffcf/tree:5cfc9f474b3e890f863b11e6bdddbbab6c501516;learning/wallet-v1.0.1@dacb59158a50897c4de93ff780663862ce0ab407/tree:5da42d781a24bd4edda3b4fc5bc6436dd37e0d0e;learning/wallet-v1.0.2@33552cb95a3ff8f443ec8c471c24ba4a41bb3522/tree:bdeeabf374cb4101d20b76a2c2c24d559323215a	learning/wallet-v1=100644:536e21dd9adb58e03e5a5d05b5fb6d02f9970204;learning/wallet-v1.0.1=100644:536e21dd9adb58e03e5a5d05b5fb6d02f9970204;learning/wallet-v1.0.2=100644:536e21dd9adb58e03e5a5d05b5fb6d02f9970204	-	discard-duplicate-corpus-family	oid-identical	a4be0d5fdfdd08a76952dbafadadb620ffdbcc8e	6599086e7a71250f7dc1a9c1747bd9f15a44aa97	-	branch-identical tool-named family is superseded by the selected source-split corpus	wallet_learning_writer	2026-07-21T05:10:00+0900
